서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망
2021-10-05 00:00:00,104033,521,14786,88585,379,662,2021-10-05 00:00:00,321352,1575,34631,284197,2524
2021-10-04 00:00:00,103512,574,14650,88206,592,656,2021-10-04 00:00:00,319777,1673,34595,282669,2513
2021-10-03 00:00:00,102939,736,14670,87614,624,655,2021-10-03 00:00:00,318104,2085,36750,278847,2507
2021-10-02 00:00:00,102204,793,14561,86990,560,653,2021-10-02 00:00:00,316020,2248,36424,277092,2504
2021-10-01 00:00:00,101411,916,14332,86430,529,649,2021-10-01 00:00:00,313773,2486,35700,275576,2497
2021-09-30 00:00:00,100495,945,13951,85901,543,643,2021-09-30 00:00:00,311289,2564,34603,274205,2481
2021-09-29 00:00:00,99550,1054,13553,85358,766,639,2021-09-29 00:00:00,308725,2885,33527,272724,2474
2021-09-28 00:00:00,98497,842,13270,84592,727,635,2021-09-28 00:00:00,305842,2289,32450,270928,2464
2021-09-27 00:00:00,97655,778,13157,83865,184,633,2021-09-27 00:00:00,303553,2383,31965,269132,2456
2021-09-26 00:00:00,96877,928,12564,83681,797,632,2021-09-26 00:00:00,301172,2771,30582,268140,2450
2021-09-25 00:00:00,95949,1222,12435,82884,957,630,2021-09-25 00:00:00,298402,3273,29547,266414,2441
2021-09-24 00:00:00,94728,907,12174,81927,657,627,2021-09-24 00:00:00,295132,2434,28206,264492,2434
2021-09-23 00:00:00,93821,645,11926,81270,415,625,2021-09-23 00:00:00,292699,1716,27430,262842,2427
2021-09-22 00:00:00,93176,644,11700,80855,337,621,2021-09-22 00:00:00,290983,1720,26752,261812,2419
2021-09-21 00:00:00,92532,676,11394,80518,266,620,2021-09-21 00:00:00,289263,1729,26760,260090,2413
2021-09-20 00:00:00,91856,583,10986,80252,307,618,2021-09-20 00:00:00,287536,1605,26116,259011,2409
2021-09-19 00:00:00,91273,742,10711,79945,549,617,2021-09-19 00:00:00,285931,1910,26078,257449,2404
2021-09-18 00:00:00,90532,703,10520,79396,500,616,2021-09-18 00:00:00,284022,2087,25599,256029,2394
2021-09-17 00:00:00,89829,746,10319,78896,1004,614,2021-09-17 00:00:00,281938,2008,25455,254094,2389
2021-09-16 00:00:00,89083,719,10577,77892,785,614,2021-09-16 00:00:00,279930,1943,25506,252038,2386
2021-09-15 00:00:00,88364,808,10645,77107,786,612,2021-09-15 00:00:00,277989,2080,25776,249833,2380
2021-09-14 00:00:00,87556,539,10627,76321,323,608,2021-09-14 00:00:00,275910,1497,25896,247647,2367
2021-09-13 00:00:00,87018,556,10413,75998,228,607,2021-09-13 00:00:00,274415,1433,26550,245505,2360
2021-09-12 00:00:00,86462,658,10085,75770,310,607,2021-09-12 00:00:00,272982,1755,26164,244459,2359
2021-09-11 00:00:00,85804,659,9737,75460,458,607,2021-09-11 00:00:00,271227,1865,25909,242960,2358
2021-09-10 00:00:00,85145,670,9540,75002,509,603,2021-09-10 00:00:00,269362,1892,26281,240733,2348
2021-09-09 00:00:00,84475,667,9383,74493,316,599,2021-09-09 00:00:00,267470,2049,26207,238920,2343
2021-09-08 00:00:00,83808,671,9034,74177,669,597,2021-09-08 00:00:00,265423,2050,25803,237286,2334
2021-09-07 00:00:00,83138,482,9035,73508,535,595,2021-09-07 00:00:00,263374,1597,25819,235225,2330
2021-09-06 00:00:00,82657,464,9091,72973,404,593,2021-09-06 00:00:00,261778,1375,25756,233695,2327
2021-09-05 00:00:00,82193,508,9032,72569,704,592,2021-09-05 00:00:00,260403,1490,25748,232334,2321
2021-09-04 00:00:00,81685,566,9230,71865,522,590,2021-09-04 00:00:00,258913,1804,26193,230405,2315
2021-09-03 00:00:00,81119,542,9188,71343,644,588,2021-09-03 00:00:00,257110,1709,26184,228618,2308
2021-09-02 00:00:00,80577,559,9291,70699,801,587,2021-09-02 00:00:00,255401,1961,26876,226222,2303
2021-09-01 00:00:00,80019,665,9537,69898,497,584,2021-09-01 00:00:00,253445,2025,26834,224319,2292
2021-08-31 00:00:00,79354,456,9370,69401,364,583,2021-08-31 00:00:00,251421,1372,27435,221701,2285
2021-08-30 00:00:00,78899,444,9280,69037,551,582,2021-08-30 00:00:00,250051,1487,27409,220358,2284
2021-08-29 00:00:00,78455,517,9388,68486,599,581,2021-08-29 00:00:00,248568,1619,27563,218726,2279
2021-08-28 00:00:00,77940,569,9472,67887,628,581,2021-08-28 00:00:00,246951,1793,27686,216989,2276
2021-08-27 00:00:00,77371,557,9533,67259,634,579,2021-08-27 00:00:00,245158,1841,28220,214673,2265
2021-08-26 00:00:00,76814,570,9611,66625,232,578,2021-08-26 00:00:00,243317,1882,28189,212871,2257
2021-08-25 00:00:00,76245,677,9277,66393,649,575,2021-08-25 00:00:00,241439,2155,28025,211177,2237
2021-08-24 00:00:00,75570,438,9252,65744,457,574,2021-08-24 00:00:00,239287,1509,27866,209193,2228
2021-08-23 00:00:00,75136,388,9276,65287,489,573,2021-08-23 00:00:00,237782,1418,27959,207601,2222
2021-08-22 00:00:00,74749,499,9380,64798,357,571,2021-08-22 00:00:00,236366,1628,27875,206276,2215
2021-08-21 00:00:00,74251,526,9243,64441,478,567,2021-08-21 00:00:00,234739,1880,28019,204518,2202
2021-08-20 00:00:00,73725,556,9196,63963,505,566,2021-08-20 00:00:00,232859,2052,27887,202775,2197
2021-08-19 00:00:00,73169,575,9147,63458,565,564,2021-08-19 00:00:00,230808,2152,27382,201235,2191
2021-08-18 00:00:00,72594,510,9140,62893,525,561,2021-08-18 00:00:00,228657,1805,26897,199582,2178
2021-08-17 00:00:00,72086,366,9158,62368,122,560,2021-08-17 00:00:00,226854,1373,27457,197224,2173
2021-08-16 00:00:00,71720,364,8917,62246,185,557,2021-08-16 00:00:00,225481,1556,27116,196198,2167
2021-08-15 00:00:00,71358,488,8743,62061,362,554,2021-08-15 00:00:00,223928,1817,26669,195103,2156
2021-08-14 00:00:00,70870,515,8621,61699,459,550,2021-08-14 00:00:00,222111,1930,26185,193778,2148
2021-08-13 00:00:00,70355,524,8566,61240,562,549,2021-08-13 00:00:00,220182,1990,25790,192248,2144
2021-08-12 00:00:00,69831,526,8607,60678,154,546,2021-08-12 00:00:00,218192,1987,25519,190535,2138
2021-08-11 00:00:00,69306,661,8236,60524,606,546,2021-08-11 00:00:00,216206,2223,24565,189506,2135
2021-08-10 00:00:00,68646,360,8183,59918,456,545,2021-08-10 00:00:00,213987,1540,24330,187523,2134
2021-08-09 00:00:00,68287,415,8282,59462,454,543,2021-08-09 00:00:00,212448,1492,24081,186242,2125
2021-08-08 00:00:00,67872,450,8322,59008,324,542,2021-08-08 00:00:00,210956,1729,23832,185003,2121
2021-08-07 00:00:00,67422,503,8198,58684,663,540,2021-08-07 00:00:00,209228,1823,23323,183789,2116
